Nombre de caractères,Chiffres uniquement,Lettres minuscules,Lettres majuscules et minuscules,"Chiffres, majuscules et minuscules","Chiffres, majuscules, minuscules et symboles"
4,Instantané,Instantané,Instantané,Instantané,Instantané
5,Instantané,Instantané,57 minutes,2 heures,4 heures
6,Instantané,46 minutes,2 jours,6 jours,2 semaines
7,Instantané,20 heures,4 mois,1 an,2 ans
8,Instantané,3 semaines,15 ans,62 ans,164 ans
9,2 heures,2 ans,791 ans,3 mille ans,11 mille ans
10,1 jour,40 ans,41 mille ans,238 mille ans,803 mille ans
11,1 semaine,1 mille ans,2 Millions d'années,14 Millions d'années,56 Millions d'années
12,3 mois,27 mille ans,111 Millions d'années,917 Millions d'années,3 Milliards d'années
13,3 ans,705 mille ans,5 Milliards d'années,56 Milliards d'années,275 Milliards d'années
14,28 ans,18 Millions d'années,300 Milliards d'années,3 Billions d'années,19 Billions d'années
15,284 ans,477 Millions d'années,15 Billions d'années,218 Billions d'années,1 Billiard d'années
16,2 mille ans,12 Milliards d'années,812 Billions d'années,13 Billiards d'années,94 Billiards d'années
17,28 mille ans,322 Milliards d'années,42 Billiards d'années,840 Billiards d'années,6 Trillions d'années
18,284 mille ans,8 Billions d'années,2 Trillions d'années,52 Trillions d'années,463 Trillions d'années
